№	Режим	Смена РЧ	Дл-ть слота	Полоса частот, Гц	Тип модуляции	Кратность модуляции	Кол-во ИП в слоте	Этап
1	ФРЧ		200	3100	ОФМ	1	16	1
2	ФРЧ		200	3100	ОФМ	2	16	1
3	ФРЧ		200	3100	ОФМ	3	16	1
4	ФРЧ		200	3100	АФМ	4	16	2
5	НРЧ	3	200	3100	ОФМ	1	15	3
6	НРЧ	3	200	3100	ОФМ	2	15	3
7	НРЧ	3	200	3100	ОФМ	3	15	3
8	НРЧ	3	200	3100	АФМ	4	15	3
9	НРЧ	75	200	3100	ОФМ	1	9	1
10	НРЧ	75	200	3100	ОФМ	2	9	1
11	НРЧ	75	200	3100	ОФМ	3	9	1
12	НРЧ	75	200	3100	ОФМ	3	9	1
13	НРЧ	75	200	3100	АФМ	4	9	2
14	НРЧ	75	200	3100	АФМ	4	9	2
15	НРЧ	75	200	4500	ОФМ	1	9	1
16	НРЧ	75	200	4500	ОФМ	2	9	1
17	НРЧ	75	200	4500	ОФМ	3	9	1
18	НРЧ	75	200	4500	АФМ	4	9	2
19	ППРЧ	3	50	4500	ОФМ	1	3	2
20	ППРЧ	3	50	4500	ОФМ	2	3	2
21	ППРЧ	3	50	4500	ОФМ	3	3	2
22	ППРЧ	3	50	4500	АФМ	4	3	2
23	ППРЧ	3	50	9000	ОФМ	1	3	2
24	ППРЧ	3	50	9000	ОФМ	1	3	2
25	ППРЧ	3	50	9000	ОФМ	2	3	2
26	ППРЧ	3	50	9000	ОФМ	3	3	2
27	ППРЧ	3	50	9000	АФМ	4	3	2
28	НРЧ	75	200	3100	ОФМ	1	9	1
29	НРЧ	75	200	3100	ОФМ	1	9	1
