№	Режим	Смена РЧ, мс	Дл-ть слота, мс	Полоса частот, Гц  	Тип модуляции	Кратность модуляции	Кол-во ИП в слоте
1	ФРЧ	 	200	3100	ОФМ	1	16
2			200	3100	ОФМ	2	16
3			200	3100	ОФМ	3	16
4			200	3100	АФМ	4	16
5	НРЧ	3	200	3100	ОФМ	1	15
6			200	3100	ОФМ	2	15
7			200	3100	ОФМ	3	15
8			200	3100	АФМ	4	15
9	НРЧ	75	200	3100	ОФМ	1	9
10			200	3100	ОФМ	2	9
11			200	3100	ОФМ	3	9
12			200	3100	ОФМ	3	9
13			200	3100	АФМ	4	9
14			200	3100	АФМ	4	9
15	НРЧ	75	200	4500	ОФМ	1	9
16			200	4500	ОФМ	2	9
17			200	4500	ОФМ	3	9
18			200	4500	АФМ	4	9
19	ППРЧ	3	50	4500	ОФМ	1	3
20			50	4500	ОФМ	2	3
21			50	4500	ОФМ	3	3
22			50	4500	АФМ	4	3
23	ППРЧ	3	50	9000	ОФМ	1	3
24			50	9000	ОФМ	1	3
25			50	9000	ОФМ	2	3
26			50	9000	ОФМ	3	3
27			50	9000	АФМ	4	3
28	НРЧ	75	200	3100	ОФМ	1	9
29	НРЧ	75	200	3100	ОФМ	1	9
